timestamp,event,latency
1740956757.3512976,receive,9.533618688583374
1740956766.8901765,send,0.00011086463928222656
1740956766.8903503,receive,0.0981299877166748
1740956766.9885643,receive,6.222724914550781e-05
1740956766.9886749,receive,5.555152893066406e-05
1740956766.9887736,receive,5.555152893066406e-05
1740956766.9888735,receive,5.364418029785156e-05
1740956766.9889686,receive,6.008148193359375e-05
1740956766.9890869,receive,7.05718994140625e-05
1740956766.9892054,receive,0.00012922286987304688
1740956766.9893816,receive,5.507469177246094e-05
1740956766.989484,receive,6.246566772460938e-05
1740956766.9895914,receive,5.5789947509765625e-05
1740956766.9896903,receive,5.507469177246094e-05
1740956766.9897876,receive,5.53131103515625e-05
1740956766.9898853,receive,5.555152893066406e-05
1740956766.9899886,receive,5.5789947509765625e-05
1740956766.9900875,receive,6.604194641113281e-05
1740956766.990207,receive,9.226799011230469e-05
1740956766.9903631,receive,6.723403930664062e-05
1740956766.9904995,receive,7.653236389160156e-05
1740956766.9906347,receive,7.581710815429688e-05
1740956766.990775,receive,6.437301635742188e-05
1740956766.9908984,receive,7.200241088867188e-05
1740956766.991025,receive,7.939338684082031e-05
1740956766.9911542,receive,6.842613220214844e-05
1740956766.9912982,receive,7.462501525878906e-05
1740956766.991433,receive,7.414817810058594e-05
1740956766.9915645,receive,7.224082946777344e-05
1740956766.9916854,receive,7.104873657226562e-05
1740956766.9918103,receive,7.748603820800781e-05
1740956766.9919508,receive,7.891654968261719e-05
1740956766.9920802,receive,8.153915405273438e-05
1740956766.9922087,receive,0.0001220703125
1740956767.002583,send,0.0001723766326904297
1740956767.0028985,receive,0.056064605712890625
1740956767.0590248,receive,5.507469177246094e-05
1740956767.0591252,receive,4.982948303222656e-05
1740956767.0592124,receive,6.699562072753906e-05
1740956767.05932,receive,4.887580871582031e-05
1740956767.059405,receive,4.744529724121094e-05
1740956767.0594888,receive,4.887580871582031e-05
1740956767.059575,receive,4.982948303222656e-05
1740956767.0596623,receive,4.792213439941406e-05
1740956767.05975,receive,5.435943603515625e-05
1740956767.0598567,receive,5.435943603515625e-05
1740956767.059955,receive,5.221366882324219e-05
1740956767.060051,receive,5.269050598144531e-05
1740956767.0601559,receive,6.079673767089844e-05
1740956767.0602775,receive,5.4836273193359375e-05
1740956767.0603774,receive,5.6743621826171875e-05
1740956767.0604787,receive,5.555152893066406e-05
1740956767.0605788,receive,5.53131103515625e-05
1740956767.060679,receive,5.2928924560546875e-05
1740956767.0607767,receive,5.245208740234375e-05
1740956767.0608735,receive,5.555152893066406e-05
1740956767.0609741,receive,5.7220458984375e-05
1740956767.0610824,receive,6.67572021484375e-05
1740956767.061218,receive,7.963180541992188e-05
1740956767.0613592,receive,6.461143493652344e-05
1740956767.0614672,receive,5.245208740234375e-05
1740956767.0615602,receive,5.269050598144531e-05
1740956767.061655,receive,6.67572021484375e-05
1740956767.061774,receive,6.699562072753906e-05
1740956767.0618954,receive,6.151199340820312e-05
1740956767.0620015,receive,5.650520324707031e-05
1740956767.0620992,receive,6.461143493652344e-05
1740956767.0705028,send,0.0001971721649169922
1740956767.0709195,receive,0.10691714286804199
1740956767.1779473,receive,0.0001049041748046875
1740956767.1781294,receive,9.179115295410156e-05
1740956767.1783354,receive,9.1552734375e-05
1740956767.1784945,receive,8.535385131835938e-05
1740956767.178657,receive,8.988380432128906e-05
1740956767.1788244,receive,8.487701416015625e-05
1740956767.178974,receive,7.963180541992188e-05
1740956767.1791167,receive,7.510185241699219e-05
1740956767.1792738,receive,8.392333984375e-05
1740956767.1794465,receive,8.559226989746094e-05
1740956767.1796043,receive,8.463859558105469e-05
1740956767.1797569,receive,8.296966552734375e-05
1740956767.1799128,receive,8.916854858398438e-05
1740956767.1800742,receive,6.723403930664062e-05
1740956767.180215,receive,8.7738037109375e-05
1740956767.180363,receive,6.937980651855469e-05
1740956767.1804798,receive,7.176399230957031e-05
1740956767.1806016,receive,6.604194641113281e-05
1740956767.1807172,receive,7.677078247070312e-05
1740956767.1808505,receive,6.628036499023438e-05
1740956767.1809618,receive,6.794929504394531e-05
1740956767.181091,receive,6.389617919921875e-05
1740956767.1812043,receive,8.96453857421875e-05
1740956767.1813524,receive,6.842613220214844e-05
1740956767.1814709,receive,7.200241088867188e-05
1740956767.1815932,receive,6.866455078125e-05
1740956767.1817148,receive,7.271766662597656e-05
