timestamp,event,latency
1740955822.7552958,send,0.0001583099365234375
1740955822.9910767,receive,5.125999450683594e-05
1740955823.0317352,receive,4.673004150390625e-05
1740955824.1030354,receive,9.34600830078125e-05
1740955824.1247838,send,3.790855407714844e-05
1740955824.125143,send,2.7179718017578125e-05
1740955825.5268383,receive,5.793571472167969e-05
1740955825.6196373,receive,4.220008850097656e-05
1740955825.6232188,send,4.3392181396484375e-05
1740955825.6235952,send,2.6941299438476562e-05
1740955825.6292837,receive,4.2438507080078125e-05
1740955825.7153149,receive,4.1961669921875e-05
1740955825.71924,send,2.9325485229492188e-05
1740955825.7194893,send,2.765655517578125e-05
1740955825.7946484,receive,3.9577484130859375e-05
1740955825.7981007,send,3.552436828613281e-05
1740955825.798411,send,2.6464462280273438e-05
1740955825.828826,receive,4.5299530029296875e-05
1740955825.9186065,receive,4.673004150390625e-05
1740955825.9228833,send,3.4332275390625e-05
1740955825.9231505,send,2.9802322387695312e-05
1740955825.9271655,receive,5.602836608886719e-05
1740955826.000624,receive,4.029273986816406e-05
1740955826.0039325,send,3.4809112548828125e-05
1740955826.0041752,send,2.6226043701171875e-05
1740955826.0265005,receive,4.887580871582031e-05
1740955826.0988111,receive,4.1484832763671875e-05
1740955826.1021771,send,2.9087066650390625e-05
1740955826.1024797,send,2.6226043701171875e-05
1740955826.1317914,receive,0.00016498565673828125
1740955826.2220767,receive,3.886222839355469e-05
1740955826.2250297,send,2.7894973754882812e-05
1740955826.225259,send,2.0742416381835938e-05
1740955826.226665,receive,2.9325485229492188e-05
1740955826.3204968,receive,4.935264587402344e-05
1740955826.3245556,send,3.2901763916015625e-05
1740955826.3248622,send,2.6226043701171875e-05
1740955826.3268797,receive,4.482269287109375e-05
1740955826.3971677,receive,3.8623809814453125e-05
1740955826.4001627,send,3.0279159545898438e-05
1740955826.4005342,send,2.288818359375e-05
1740955826.4267259,receive,4.00543212890625e-05
1740955826.4973068,receive,3.981590270996094e-05
1740955826.5006914,send,3.0994415283203125e-05
1740955826.5009606,send,2.6702880859375e-05
1740955826.5266423,receive,6.866455078125e-05
1740955826.607808,receive,3.886222839355469e-05
1740955826.6114666,send,3.647804260253906e-05
1740955826.6117618,send,2.6464462280273438e-05
1740955826.626557,receive,4.863739013671875e-05
1740955826.728971,receive,5.125999450683594e-05
1740955826.730232,receive,3.5762786865234375e-05
1740955826.734067,send,4.863739013671875e-05
1740955826.734408,send,2.86102294921875e-05
1740955826.791973,receive,5.6743621826171875e-05
1740955826.795715,send,3.7670135498046875e-05
1740955826.7961032,send,3.0040740966796875e-05
1740955826.826513,receive,5.316734313964844e-05
1740955826.8958802,receive,3.528594970703125e-05
1740955826.8990462,send,3.409385681152344e-05
1740955826.89927,send,2.6702880859375e-05
1740955826.92675,receive,4.887580871582031e-05
1740955827.0014784,receive,4.887580871582031e-05
1740955827.0049207,send,3.719329833984375e-05
1740955827.005173,send,2.0742416381835938e-05
1740955827.0264907,receive,3.790855407714844e-05
1740955827.098361,receive,4.172325134277344e-05
1740955827.1016846,send,3.3855438232421875e-05
1740955827.1019127,send,2.0742416381835938e-05
1740955827.1264994,receive,4.935264587402344e-05
1740955827.1976397,receive,3.743171691894531e-05
1740955827.2005398,send,2.6226043701171875e-05
1740955827.2007546,send,2.0265579223632812e-05
1740955827.2264144,receive,4.315376281738281e-05
1740955827.2994936,receive,4.482269287109375e-05
1740955827.3029006,send,2.8371810913085938e-05
1740955827.3031142,send,2.5987625122070312e-05
1740955827.3266015,receive,5.507469177246094e-05
1740955827.3994515,receive,4.6253204345703125e-05
1740955827.40267,send,3.600120544433594e-05
1740955827.4029326,send,2.4557113647460938e-05
1740955827.4266276,receive,5.340576171875e-05
1740955827.4920843,receive,4.6253204345703125e-05
1740955827.4953058,send,3.504753112792969e-05
1740955827.4955797,send,2.47955322265625e-05
1740955827.5314767,receive,0.00015044212341308594
1740955827.6286595,receive,4.935264587402344e-05
1740955827.6301837,receive,3.552436828613281e-05
1740955827.633051,send,3.1948089599609375e-05
1740955827.6333425,send,2.3603439331054688e-05
1740955827.700091,receive,3.886222839355469e-05
1740955827.7033582,send,2.6464462280273438e-05
1740955827.703623,send,2.1219253540039062e-05
1740955827.7266555,receive,4.124641418457031e-05
1740955827.7947502,receive,3.8623809814453125e-05
1740955827.7979171,send,2.8371810913085938e-05
1740955827.798146,send,2.6702880859375e-05
1740955827.826564,receive,4.172325134277344e-05
1740955827.8948066,receive,3.886222839355469e-05
1740955827.898017,send,2.9087066650390625e-05
1740955827.8982496,send,2.0742416381835938e-05
1740955827.926561,receive,4.839897155761719e-05
1740955827.9989514,receive,4.0531158447265625e-05
1740955828.0025623,send,3.0994415283203125e-05
1740955828.0028117,send,2.7894973754882812e-05
1740955828.0266542,receive,4.1961669921875e-05
1740955828.1000195,receive,4.172325134277344e-05
1740955828.1036804,send,3.147125244140625e-05
1740955828.1039243,send,2.86102294921875e-05
1740955828.1267576,receive,4.5299530029296875e-05
1740955828.1978889,receive,4.38690185546875e-05
1740955828.201369,send,3.266334533691406e-05
1740955828.2016323,send,2.7179718017578125e-05
1740955828.2267761,receive,5.0067901611328125e-05
1740955828.3009927,receive,4.38690185546875e-05
1740955828.3049695,send,3.8623809814453125e-05
1740955828.3053062,send,3.147125244140625e-05
1740955828.3269246,receive,5.14984130859375e-05
1740955828.4048438,receive,5.364418029785156e-05
1740955828.409036,send,3.814697265625e-05
1740955828.4093487,send,3.075599670410156e-05
1740955828.4270399,receive,5.698204040527344e-05
